# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_inc, convolution
2, 78, 13.8981, 1.29627e-05, 1.94319, 0.0645941, 1.67702, 0.0843042, 703.504, 0.00908768, 8.41744, 1.73399, 15.2931
0, 79, 14.7697, 5.41214e-05, 0.695479, 0.0145511, 18.6209, 0.57924, 696.337, 0.001797, -5.30632, 0.0333951, 5.41793
1, 79, 13.296, 2.62293e-05, 0.877929, 0.0371452, 4.46959, 0.278448, 705.801, 0.00396915, -4.67286, 0.253969, 7.23618
2, 79, 12.3661, 6.75457e-06, 1.24577, 0.0242857, 1.57559, 0.0465703, 709.508, 0.00301653, -4.82762, 0.576238, 7.32858
0, 81, 13.9636, 3.16332e-05, 1.03477, 0.0371925, 6.33606, 0.33441, 703.486, 0.00385033, -4.79609, 0.164926, 6.06665
1, 81, 12.4241, 6.69053e-05, 1.36574, 0.0335434, 19.6089, 0.717999, 710.66, 0.0042354, -5.56635, 0.0790024, 6.33816
2, 81, 14.6941, 2.59287e-05, 1.4964, 0.0385412, 7.24732, 0.275619, 699.175, 0.00431137, -0.927393, 0.182794, 10.5057
0, 82, 13.8285, 0.000132415, 1.25838, 0.0373339, 32.1055, 1.47073, 704.514, 0.00647594, -5.10029, 0.112619, 5.30167
1, 82, 15.5784, 3.74356e-05, 0.927672, 0.0109497, 22.8273, 0.405285, 694.081, 0.0015179, -3.53716, 0.0278282, 5.61598
0, 83, 12.352, 4.80243e-05, 1.22669, 0.0350231, 12.1078, 0.516174, 707.564, 0.00448561, -3.59327, 0.139466, 5.53804
1, 83, 12.083, 1.10126e-05, 1.63977, 0.0239896, 5.41863, 0.116234, 708.691, 0.0024292, -7.3499, 0.117397, 7.06383
0, 86, 15.5858, 0.000410989, 0.172281, 0.00762886, 66.0668, 5.51208, 695.766, 0.0035851, -2.58051, 0.0636381, 6.19907
1, 86, 14.6324, 6.02771e-05, 0.587009, 0.0140749, 18.0969, 0.644205, 699.718, 0.00171485, -5.13392, 0.0318438, 7.16148
0, 88, 14.9477, 0.000178929, 0.534714, 0.0253919, 27.1137, 1.96, 701.738, 0.00403439, -5.51191, 0.0703459, 5.15705
1, 88, 13.6996, 1.83969e-05, 0.632929, 0.0975891, 1.63288, 0.349522, 707.605, 0.00545539, -1.82507, 0.703405, 5.45012
2, 88, 13.0245, 0.000460349, 0.315038, 0.0153187, 67.761, 5.63959, 711.807, 0.00553115, -6.37013, 0.0674673, 5.61217
3, 88, 15.5693, 4.09918e-05, 1.67451, 2.52782, 0.793803, 0.981893, 698.624, 0.0205823, -10.6897, 3.95293, 9.6825
4, 88, 14.3445, 1.82635e-05, 1.62002, 0.0651611, 3.25376, 0.191443, 704.226, 0.00645694, -2.28166, 0.501051, 11.7949
0, 89, 13.7332, 1.57402e-05, 1.15427, 0.0229411, 5.70114, 0.168651, 703.336, 0.00283165, 1.51654, 0.177303, 6.71679
1, 89, 12.334, 4.53804e-05, 0.579875, 0.01499, 12.6385, 0.479695, 710.339, 0.00157985, -6.93004, 0.0331911, 8.34883
2, 89, 14.351, 1.53454e-05, 1.92954, 0.0282647, 7.54142, 0.163408, 700.626, 0.00323881, -7.97972, 0.13675, 15.1456
0, 91, 13.4645, 0.00104904, 1.41956, 0.784858, 54.0905, 26.2141, 702.881, 0.758795, 70.8319, 26.4684, 7.56647
1, 91, 13.4629, 0.000107209, 2.26789, 0.0311717, 55.9448, 1.27185, 703.598, 0.00812374, -5.62493, 0.124538, 9.68681
2, 91, 12.202, 4.22787e-05, 1.36197, 0.0296252, 13.9917, 0.452553, 709.723, 0.00362419, -5.39489, 0.0907454, 11.632
0, 92, 10.0205, 4.93297e-05, 0.805516, 0.0413737, 6.91484, 0.513226, 721.669, 0.00316324, -5.51467, 0.0738234, 5.32114
0, 94, 14.245, 1.31622e-05, 1.31576, 0.0485073, 1.25998, 0.0730175, 701.176, 0.00518971, -2.1876, 1.00336, 15.4103
0, 95, 12.3102, 6.20705e-05, 1.04493, 0.043551, 10.7223, 0.650272, 715.283, 0.00386532, -2.85778, 0.0758329, 5.04507
0, 96, 15.8953, 0.000198512, 0.196081, 0.0159916, 17.5186, 2.15227, 696.472, 0.00232693, -3.17071, 0.0548177, 5.59722
0, 97, 14.566, 3.4449e-05, 0.767945, 0.0364207, 5.22945, 0.365066, 700.317, 0.00390571, -5.05758, 0.213926, 7.315
0, 98, 15.1116, 2.3288e-05, 0.475568, 0.0201534, 3.94175, 0.246142, 698.724, 0.00223072, -2.63406, 0.170549, 5.71694
0, 99, 14.8014, 2.93069e-05, 0.57401, 0.0154499, 7.83781, 0.314495, 698.707, 0.00194471, -3.30965, 0.0909363, 5.30545
1, 99, 13.9558, 2.03451e-05, 0.624269, 0.019704, 4.63651, 0.213383, 702.733, 0.00182785, -4.41853, 0.0892249, 7.85584
2, 99, 15.1648, 0.000206011, 0.809967, 0.0447577, 26.7836, 2.36915, 697.314, 0.00977552, -2.22174, 0.265807, 12.3909
0, 100, 11.0445, 1.07203e-05, 0.84639, 0.0265871, 1.67744, 0.0790992, 716.99, 0.0033767, -1.53825, 0.64236, 9.01544
0, 103, 9.67662, 1.16745e-05, 1.06743, 0.0435169, 1.41531, 0.0840956, 728.009, 0.00340537, -6.039, 0.448148, 5.64366
1, 103, 11.414, 5.30904e-05, 0.916798, 0.051797, 6.76553, 0.555727, 717.255, 0.00451733, -0.705436, 0.136711, 6.1059
2, 103, 14.5714, 3.99888e-05, 0.713021, 0.0181092, 11.3356, 0.421055, 703.587, 0.00177023, -5.24115, 0.037974, 6.52295
3, 103, 12.6213, 1.94655e-05, 1.1597, 0.0450767, 3.64276, 0.21093, 714.615, 0.00539687, 0.467753, 0.508845, 8.59938
0, 105, 11.6733, 2.33111e-05, 2.60572, 0.042609, 10.2614, 0.250789, 717.614, 0.00551031, 0.098678, 0.20534, 14.7764
0, 106, 13.3104, 1.64482e-05, 1.10724, 0.483045, 1.07675, 0.486175, 711.868, 0.010581, -12.9714, 1.99267, 6.6986
1, 106, 14.3408, 9.02052e-05, 0.766795, 0.0272138, 18.2967, 0.964583, 705.976, 0.00331518, -5.12385, 0.0619092, 7.21905
