# sol, t0, DeltaP, DeltaP_unc, Gamma, Gamma_unc, U, U_unc, Diameter, Diameter_unc
402, 13.3658, 3.10348, 0.0565362, 7.11535, 0.224077, 10.7875, 0.464796, 76.7568, 4.0964
402, 13.3658, 3.10554, 0.0401729, 7.2677, 0.139608, 10.79, 0.469985, 78.4185, 3.73312
403, 10.5647, 0.96089, 0.0492247, 7.6215, 0.568382, 10.0945, 1.03856, 76.9352, 9.77614
403, 12.078, 1.28941, 0.0499573, 1.694, 0.0976277, 8.484, 0.874735, 14.3719, 1.69758
403, 13.6408, 1.50252, 0.0640878, 1.57869, 0.100932, 6.228, 1.14086, 9.83208, 1.90761
405, 15.7187, 0.63062, 0.0124631, 22.8902, 0.899047, 8.6805, 1.38846, 198.698, 32.7262
405, 15.7183, 0.716552, 0.0193961, 36.8653, 1.47607, 8.69, 1.25947, 320.359, 48.17
406, 11.0922, 1.22987, 0.0483914, 3.64978, 0.21276, 8.053, 0.710166, 29.3917, 3.10706
406, 13.0127, 1.55348, 0.0591545, 4.21042, 0.237106, 8.052, 0.200151, 33.9023, 2.0869
407, 10.864, 0.346338, 0.022599, 67.5837, 9.35187, 16.241, 2.75467, 1097.63, 240.267
407, 13.9299, 2.0335, 0.296569, 1.93338, 0.403626, 15.7555, 0.722769, 30.4614, 6.51105
407, 10.9707, 0.486402, 0.0202795, 49.3632, 3.33928, 13.221, 2.73244, 652.631, 141.923
407, 15.5513, 1.05224, 0.104258, 1.36282, 0.167321, 17.162, 0.0237216, 23.3887, 2.87174
407, 13.9299, 1.95799, 0.135481, 2.323, 0.240121, 15.7555, 1.29505, 36.6, 4.83356
407, 12.1195, 2.33997, 0.0778328, 3.51476, 0.171268, 7.869, 0.461089, 27.6576, 2.10778
408, 9.57103, 1.40253, 0.0762675, 3.07644, 0.246954, 9.951, 1.21425, 30.6137, 4.47141
409, 15.8534, 0.666693, 0.0632093, 37.9248, 4.00765, 10.7595, 1.22166, 408.052, 63.2926
409, 15.8523, 0.591456, 0.0565822, 32.7548, 4.38086, 10.57, 1.9259, 346.218, 78.2535
409, 15.8533, 0.691614, 0.0473776, 37.6455, 3.38765, 10.649, 1.32693, 400.887, 61.6174
409, 15.8529, 0.650949, 0.0360892, 32.4639, 2.97896, 10.266, 2.26097, 333.274, 79.516
409, 15.8527, 0.562835, 0.0353284, 27.1843, 3.2396, 9.34, 1.75837, 253.901, 56.5718
409, 15.8518, 1.0836, 0.0141232, 52.7079, 1.0103, 10.9225, 1.37734, 575.702, 73.4305
409, 14.0948, 1.96977, 0.0692445, 5.60809, 0.287258, 5.102, 0.951831, 28.6125, 5.53549
410, 13.1796, 3.41118, 4.71306, 0.703445, 0.719478, 9.322, 0.355, 6.55751, nan
410, 10.4499, 2.61974, 0.158321, 1.42639, 0.118447, 5.715, 0.0355825, 8.15182, 0.678825
411, 14.8043, 0.717124, 0.0777492, 31.5659, 4.15331, 7.413, 1.43812, 233.998, 54.8516
411, 14.8066, 0.987906, 0.173324, 47.315, 7.65063, 5.781, 1.91849, 273.528, 100.975
411, 14.8064, 0.994739, 0.142522, 43.98, 6.56986, 6.145, 1.37511, 270.257, 72.7146
411, 14.8068, 1.00626, 0.300614, 52.479, 11.7806, 4.482, 2.02523, 235.211, 118.675
411, 14.806, 0.930874, 0.0983087, 37.3493, 5.19866, 7.071, 0.982965, 264.097, 51.9531
411, 14.8048, 0.977563, 0.0999117, 39.8753, 4.81148, 6.4305, 1.00002, 256.418, 50.4716
411, 14.8051, 0.884928, 0.0607164, 31.8723, 3.6981, 7.4095, 1.43368, 236.158, 53.2805
411, 14.8055, 0.87075, 0.0723159, 31.3864, 4.35374, 7.413, 1.43812, 232.667, 55.489
411, 14.8056, 1.34601, 0.0234887, 47.3969, 1.2162, 5.463, 1.92071, 258.929, 91.2779
411, 10.0371, 1.40673, 0.065057, 2.56164, 0.178591, 7.685, 0.437368, 19.6862, 1.7717
411, 12.5215, 3.13604, 0.0690479, 3.83423, 0.125726, 11.114, 1.3892, 42.6136, 5.50674
411, 11.7457, 4.68254, 0.082479, 7.56311, 0.197081, 7.817, 1.24835, 59.1208, 9.56628
413, 14.7167, 1.27384, 0.0659148, 10.9024, 1.08408, 12.418, 1.19572, 135.386, 18.7396
413, 14.7167, 1.26998, 0.0682101, 10.7443, 1.10834, 12.578, 1.42626, 135.142, 20.7165
413, 14.7167, 1.26839, 0.0370659, 10.4206, 0.4512, 12.2535, 1.17644, 127.689, 13.4483
413, 13.1709, 2.156, 0.0779987, 3.21641, 0.17075, 11.698, 2.16163, 37.6256, 7.23393
414, 10.6184, 1.5568, 0.0388248, 14.4956, 0.758948, 8.136, 0.627141, 117.936, 10.9896
414, 10.6183, 1.55774, 0.0365904, 14.458, 0.707856, 8.136, 0.627141, 117.63, 10.7416
414, 10.6184, 1.49419, 0.0322996, 12.5257, 0.396631, 7.74, 0.458124, 96.9489, 6.5079
