_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-1.835 ;  9.885 ; 309 ; 2019-283T02:58:38.890Z ; 1.000
-1.834 ; 12.130 ; 165 ; 2019-135T06:56:18.426Z ; 1.000
-1.825 ; 12.412 ; 124 ; 2019-093T04:25:30.693Z ; 1.000
-1.818 ; 12.508 ; 187 ; 2019-157T21:42:15.352Z ; 1.000
-1.814 ; 13.316 ; 286 ; 2019-259T15:23:28.781Z ; 1.000
-1.809 ; 12.761 ; 067 ; 2019-034T15:23:23.537Z ; 1.000
-1.808 ; 14.139 ; 312 ; 2019-286T09:19:11.184Z ; 1.000
-1.807 ;  9.976 ; 310 ; 2019-284T03:43:43.092Z ; 0.943
-1.802 ; 12.069 ; 231 ; 2019-203T02:02:18.286Z ; 0.871
-1.801 ; 10.822 ; 374 ; 2019-349T22:40:29.444Z ; 1.000
-1.799 ; 14.351 ; 089 ; 2019-057T07:29:09.449Z ; 1.000
-1.788 ;  9.662 ; 257 ; 2019-229T16:36:17.614Z ; 1.000
-1.783 ; 11.960 ; 133 ; 2019-102T09:50:51.810Z ; 1.000
-1.782 ; 12.943 ; 355 ; 2019-330T12:21:45.837Z ; 1.000
-1.781 ; 10.991 ; 387 ; 2019-363T07:23:35.514Z ; 1.000
-1.775 ; 12.066 ; 367 ; 2019-342T19:21:03.429Z ; 1.000
-1.773 ; 13.046 ; 255 ; 2019-227T18:46:10.997Z ; 1.000
-1.773 ; 13.200 ; 262 ; 2019-234T23:31:09.142Z ; 1.000
-1.772 ; 13.051 ; 356 ; 2019-331T13:07:51.023Z ; 1.000
-1.767 ; 14.159 ; 330 ; 2019-304T21:10:25.702Z ; 1.000
-1.766 ; 15.417 ; 355 ; 2019-330T14:54:18.930Z ; 1.000
-1.755 ; 12.215 ; 399 ; 2020-010T16:32:11.826Z ; 1.000
-1.754 ;  9.778 ; 178 ; 2019-148T13:01:02.700Z ; 1.000
-1.753 ; 11.118 ; 245 ; 2019-217T10:14:01.999Z ; 0.942
-1.752 ; 12.529 ; 230 ; 2019-202T01:51:24.349Z ; 1.000
-1.742 ; 12.587 ; 194 ; 2019-165T02:21:42.545Z ; 1.000
-1.735 ; 10.104 ; 037 ; 2019-003T16:50:49.005Z ; 0.671
-1.735 ; 12.636 ; 306 ; 2019-280T03:49:54.649Z ; 1.000
-1.734 ; 11.479 ; 233 ; 2019-205T02:44:31.361Z ; 1.000
-1.733 ; 13.521 ; 060 ; 2019-027T11:33:29.678Z ; 1.000
-1.725 ;  9.603 ; 036 ; 2019-002T15:40:10.634Z ; 1.000
-1.722 ; 10.978 ; 258 ; 2019-230T18:36:45.863Z ; 1.000
-1.722 ; 12.551 ; 243 ; 2019-215T10:23:41.910Z ; 1.000
-1.714 ; 13.241 ; 182 ; 2019-152T19:11:21.506Z ; 1.000
-1.714 ; 13.947 ; 219 ; 2019-190T20:06:41.885Z ; 1.000
-1.713 ; 10.044 ; 055 ; 2019-022T04:41:16.024Z ; 1.000
-1.705 ; 12.337 ; 052 ; 2019-019T05:03:45.483Z ; 1.000
-1.700 ; 10.563 ; 131 ; 2019-100T07:06:17.212Z ; 1.000
-1.690 ; 11.586 ; 334 ; 2019-308T21:09:40.743Z ; 1.000
-1.689 ;  9.699 ; 193 ; 2019-163T22:44:28.660Z ; 1.000
-1.678 ; 13.442 ; 019 ; 2018-350T08:19:44.580Z ; 1.000
-1.677 ; 11.133 ; 313 ; 2019-287T06:53:21.070Z ; 1.000
-1.670 ; 11.619 ; 395 ; 2020-006T13:17:44.553Z ; 1.000
-1.670 ; 14.012 ; 138 ; 2019-107T15:13:32.246Z ; 1.000
-1.669 ; 11.779 ; 176 ; 2019-146T13:45:58.764Z ; 1.000
-1.668 ; 13.225 ; 176 ; 2019-146T15:15:06.655Z ; 1.000
-1.667 ; 13.159 ; 349 ; 2019-324T08:38:23.971Z ; 1.000
-1.666 ; 11.690 ; 350 ; 2019-325T07:47:17.060Z ; 1.000
-1.664 ; 12.699 ; 397 ; 2020-008T15:43:11.214Z ; 1.000
-1.663 ; 11.911 ; 352 ; 2019-327T09:19:47.385Z ; 1.000
-1.661 ; 10.317 ; 399 ; 2020-010T14:35:15.194Z ; 1.000
-1.661 ; 11.320 ; 130 ; 2019-099T07:13:43.899Z ; 1.000
